Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
1324,0.68,-0.63,-9.11,0.02,0.03,-0.13
1359,0.60,-2.07,-7.99,-0.00,0.03,0.01
1394,-0.27,0.47,-10.25,-0.43,-0.09,0.17
1429,-0.79,0.98,-9.96,0.10,0.07,0.44
1464,-0.40,-0.71,-13.62,0.05,0.17,0.69
1498,0.12,-0.45,-10.22,-0.15,-0.07,0.89
1533,0.37,-0.30,-13.80,0.09,-0.08,0.86
1568,-0.51,-1.44,-10.96,-0.30,0.06,0.85
1603,0.26,1.50,-14.06,0.57,0.13,0.89
1638,0.56,3.44,-9.28,-0.17,-0.12,0.79
1672,-0.28,0.14,-9.14,0.45,-0.10,0.62
1707,-0.30,-1.71,-11.93,0.09,0.06,0.21
1747,-0.12,-2.61,-11.32,0.02,0.07,-0.19
1782,0.54,-1.79,-7.99,-0.26,-0.10,-0.32
1817,0.23,-0.78,-10.62,0.19,-0.24,-0.41
1852,-0.03,-1.24,-8.46,-0.10,-0.05,-0.49
1887,0.36,-1.52,-9.65,0.37,0.09,-0.43
1922,0.84,-0.78,-9.50,-0.14,0.02,-0.42
1957,0.05,-0.40,-13.51,0.02,-0.12,-0.34
1991,-0.33,-0.87,-11.99,0.25,-0.11,-0.32
2026,-0.09,-0.27,-11.98,-0.13,-0.00,-0.32
2061,0.32,-1.44,-10.90,0.22,0.02,-0.27
2096,0.90,-1.08,-9.08,-0.06,-0.06,-0.24
2131,0.45,-1.42,-10.52,0.04,-0.13,-0.21
2180,0.49,-1.59,-9.86,0.20,-0.12,-0.28
2220,0.31,-0.83,-11.18,0.07,-0.03,-0.23
2254,0.46,-1.64,-10.86,0.10,-0.01,-0.22
2289,0.45,-0.38,-8.83,-0.04,-0.09,-0.21
2324,0.38,-1.48,-10.29,-0.11,-0.12,-0.17
2359,0.36,1.36,-10.15,0.19,-0.09,-0.25
2394,0.48,-2.16,-10.09,0.17,-0.11,-0.25
2429,0.29,-0.55,-10.53,-0.02,-0.02,-0.22
2464,0.32,-1.24,-10.13,0.14,-0.01,-0.24
2499,0.66,-2.00,-8.58,-0.01,-0.05,-0.20
2534,0.51,-0.06,-9.02,-0.11,-0.08,-0.20
2569,0.61,-2.24,-7.84,0.14,-0.02,-0.20
2604,0.38,-1.36,-10.13,-0.04,-0.08,-0.20
2644,0.04,-1.68,-10.10,0.11,-0.04,-0.10
2692,-0.03,0.34,-10.85,0.07,0.02,-0.03
2727,0.18,0.11,-11.07,-0.02,-0.01,0.03
2762,0.27,-0.60,-9.68,0.17,-0.00,0.11
2797,0.49,-0.96,-9.13,-0.11,-0.04,0.20
2832,0.34,-0.12,-10.41,-0.02,-0.02,0.25
2867,0.34,-0.56,-10.48,0.15,-0.08,0.28
2902,0.22,-1.44,-9.20,0.07,-0.07,0.32
2937,0.25,-0.62,-10.20,0.01,-0.01,0.41
2972,0.30,-0.56,-10.61,0.07,-0.04,0.46
3007,0.17,-1.20,-9.78,0.15,-0.03,0.46
3042,0.48,-0.09,-10.43,0.05,-0.02,0.44
3077,0.08,-0.44,-10.07,0.12,-0.01,0.41
3117,0.45,-1.90,-9.28,0.02,-0.02,0.39
3152,0.44,-0.37,-10.54,-0.04,-0.01,0.33
3187,0.53,-0.05,-10.48,-0.00,-0.07,0.27
3222,0.14,0.49,-11.25,-0.13,-0.09,0.24
3257,0.21,-0.61,-10.17,0.08,-0.10,0.16
3292,0.21,-0.33,-9.82,0.05,-0.08,0.15
3326,0.25,-0.65,-10.18,-0.01,-0.08,0.17
3361,0.33,-0.32,-9.92,0.05,-0.05,0.17
3396,0.37,-0.90,-10.02,0.01,-0.05,0.18
3431,0.35,-0.66,-10.01,0.05,-0.05,0.21
3466,0.27,-0.63,-10.46,0.05,-0.04,0.24
3501,0.17,-0.45,-10.54,0.08,-0.06,0.30
3536,0.05,-0.64,-10.35,0.19,-0.07,0.35
3576,0.20,-1.27,-10.91,0.14,-0.05,0.31
3625,0.25,-1.52,-10.61,0.14,-0.02,0.17
3660,0.23,-0.90,-10.11,-0.01,-0.04,0.00
3695,0.26,-0.88,-10.04,0.01,-0.07,-0.16
3730,0.39,-0.95,-10.33,-0.02,-0.03,-0.24
3765,0.37,-0.80,-10.58,-0.01,-0.08,-0.25
3800,0.49,-0.19,-10.18,0.01,-0.04,-0.21
3835,0.60,-0.56,-10.37,0.01,-0.05,-0.11
3870,0.71,-0.12,-10.21,0.07,-0.05,0.03
3905,0.85,-0.68,-10.30,0.13,-0.04,0.13
3940,0.71,-0.72,-10.13,0.07,-0.05,0.15
3975,0.69,-0.66,-10.27,0.08,-0.04,0.11
4015,0.80,-0.94,-10.19,0.06,-0.05,0.04
4062,0.94,-0.83,-10.29,0.04,-0.05,-0.05
4096,0.95,-0.70,-10.24,0.02,-0.05,-0.08
4131,0.87,-0.55,-10.29,0.06,-0.05,-0.07
4166,0.83,-0.58,-10.26,0.04,-0.05,-0.04
4201,0.73,-0.55,-10.25,0.06,-0.05,-0.00
4236,0.72,-0.68,-10.21,0.07,-0.05,0.03
4271,0.72,-0.75,-10.29,0.07,-0.05,0.03
4306,0.79,-0.73,-10.26,0.06,-0.05,0.01
4341,0.84,-0.74,-10.26,0.05,-0.05,-0.01
4376,0.85,-0.67,-10.23,0.04,-0.05,-0.03
4411,0.83,-0.63,-10.26,0.04,-0.05,-0.03
4445,0.78,-0.60,-10.31,0.05,-0.05,-0.01
4486,0.78,-0.66,-10.27,0.06,-0.05,0.01
4520,0.76,-0.69,-10.21,0.07,-0.05,0.02
4555,0.82,-0.71,-10.26,0.06,-0.05,0.01
4590,0.83,-0.70,-10.26,0.05,-0.05,-0.01
4625,0.80,-0.72,-10.26,0.05,-0.05,-0.02
4660,0.78,-0.66,-10.27,0.05,-0.05,-0.02
4695,0.78,-0.61,-10.27,0.06,-0.05,-0.00
4730,0.79,-0.67,-10.26,0.06,-0.05,0.01
4765,0.80,-0.71,-10.23,0.06,-0.05,0.01
4800,0.82,-0.72,-10.30,0.06,-0.05,-0.00
4835,0.77,-0.69,-10.25,0.05,-0.05,-0.01
4870,0.79,-0.71,-10.25,0.05,-0.05,-0.02
4904,0.78,-0.65,-10.26,0.05,-0.05,-0.01
4945,0.79,-0.64,-10.25,0.06,-0.05,0.00
4979,0.81,-0.68,-10.27,0.06,-0.05,0.01
5014,0.80,-0.71,-10.25,0.06,-0.05,0.00
5049,0.78,-0.69,-10.25,0.05,-0.05,-0.01
5097,0.80,-0.67,-10.25,0.05,-0.05,-0.01
5132,0.80,-0.65,-10.28,0.05,-0.05,-0.01
5167,0.81,-0.65,-10.22,0.06,-0.05,-0.00
5202,0.81,-0.69,-10.27,0.06,-0.05,0.00
5237,0.79,-0.69,-10.25,0.06,-0.05,-0.00
5272,0.77,-0.69,-10.23,0.06,-0.05,-0.01
5307,0.78,-0.70,-10.23,0.05,-0.05,-0.01
5342,0.80,-0.66,-10.26,0.05,-0.05,-0.01
5382,0.81,-0.67,-10.24,0.06,-0.05,-0.00
5429,0.79,-0.67,-10.26,0.06,-0.05,-0.00
5463,0.79,-0.69,-10.24,0.06,-0.05,-0.00
5498,0.78,-0.68,-10.25,0.05,-0.05,-0.01
5533,0.80,-0.67,-10.22,0.05,-0.05,-0.01
5568,0.79,-0.67,-10.26,0.05,-0.05,-0.01
5603,0.80,-0.67,-10.27,0.06,-0.05,-0.00
5638,0.80,-0.68,-10.25,0.06,-0.05,-0.00
5673,0.79,-0.67,-10.27,0.06,-0.05,-0.00
5708,0.79,-0.67,-10.22,0.06,-0.05,-0.01
5743,0.78,-0.69,-10.26,0.05,-0.05,-0.01
5778,0.80,-0.68,-10.27,0.06,-0.05,-0.01
5812,0.81,-0.68,-10.27,0.06,-0.05,-0.00
5853,0.81,-0.67,-10.24,0.06,-0.05,-0.00
5887,0.81,-0.68,-10.24,0.06,-0.05,-0.00
5922,0.79,-0.67,-10.29,0.06,-0.05,-0.00
5957,0.79,-0.66,-10.24,0.05,-0.05,-0.01
5992,0.80,-0.66,-10.25,0.05,-0.05,-0.00
6027,0.79,-0.66,-10.25,0.06,-0.05,-0.00
6062,0.80,-0.68,-10.24,0.06,-0.05,-0.00
6097,0.81,-0.69,-10.26,0.06,-0.05,-0.00
6132,0.79,-0.67,-10.29,0.06,-0.05,-0.00
6166,0.79,-0.67,-10.26,0.06,-0.05,-0.01
6201,0.80,-0.66,-10.24,0.06,-0.05,-0.00
6236,0.81,-0.67,-10.25,0.06,-0.05,-0.00
6276,0.81,-0.68,-10.25,0.06,-0.05,-0.00
6311,0.79,-0.68,-10.25,0.06,-0.05,-0.00
6346,0.78,-0.67,-10.24,0.06,-0.05,-0.00
6381,0.80,-0.68,-10.26,0.06,-0.05,-0.00
6416,0.80,-0.69,-10.23,0.06,-0.05,-0.00
6451,0.77,-0.17,-10.25,-0.05,-0.05,-0.02
6485,0.82,-0.59,-10.38,0.11,-0.05,-0.02
6534,0.80,-0.83,-10.29,0.05,-0.05,-0.02
6569,0.86,-0.45,-10.20,0.06,-0.04,-0.02
6603,0.84,-0.63,-10.31,0.06,-0.05,0.00
6638,0.79,-0.79,-10.15,0.07,-0.05,-0.01
6673,0.92,-2.09,-10.13,-0.02,-0.05,0.01
6708,0.85,-0.90,-10.78,0.11,-0.07,-0.03
6748,1.56,-2.45,-11.61,-0.22,-0.04,-0.09
6796,-0.30,-0.45,-8.26,0.05,-0.11,-0.06
6831,1.88,-1.75,-14.76,-0.07,-0.07,-0.06
6866,1.43,1.20,-10.51,0.05,-0.11,-0.07
6901,2.77,-3.05,-9.81,0.07,-0.03,-0.06
6936,2.33,0.30,-10.82,0.12,-0.09,-0.03
6971,2.72,-2.12,-10.44,0.02,0.03,-0.02
7006,3.42,0.37,-9.75,0.07,-0.08,0.02
7040,2.59,0.62,-10.01,0.08,-0.03,-0.01
7075,2.91,-1.10,-10.26,-0.01,0.03,0.01
7110,2.82,-4.01,-10.40,0.02,-0.02,0.01
7145,1.85,-1.12,-10.24,-0.09,-0.11,-0.02
7185,3.18,-2.32,-10.96,0.10,-0.03,-0.12
7220,2.73,-2.08,-10.88,0.07,-0.02,-0.22
7255,1.75,-1.78,-11.05,0.25,0.02,-0.28
7290,2.61,-1.82,-11.83,-0.07,-0.01,-0.22
7325,2.70,3.14,-9.99,0.13,-0.08,-0.23
7360,3.00,-2.25,-9.56,-0.20,-0.21,-0.19
7394,2.09,-1.45,-9.86,0.08,-0.00,-0.24
7429,1.62,1.83,-10.71,0.42,-0.05,-0.27
7464,2.60,-2.79,-9.84,-0.15,0.05,-0.27
7499,2.55,-0.93,-9.47,0.16,-0.24,-0.23
7534,2.02,-0.41,-9.79,-0.06,-0.17,-0.30
7569,2.38,-1.85,-10.52,0.32,0.06,-0.35
7604,2.69,0.61,-9.74,-0.12,0.03,-0.33
7644,2.83,-1.20,-11.30,0.06,-0.18,-0.35
7679,1.87,0.30,-10.83,0.16,-0.04,-0.36
7713,2.93,-1.05,-8.26,-0.10,0.21,-0.41
7748,2.15,-1.98,-8.99,0.17,-0.12,-0.34
7783,2.37,-3.73,-12.09,0.11,-0.04,-0.36
7818,1.63,-0.12,-8.49,-0.23,0.05,-0.39
7853,3.03,-2.97,-9.93,0.09,-0.16,-0.37
7888,0.64,3.72,-11.61,0.14,-0.19,-0.40
7923,2.81,-5.27,-8.50,-0.14,0.19,-0.46
7957,1.49,0.94,-12.01,0.26,-0.23,-0.39
8006,2.18,-2.73,-6.73,-0.08,0.08,-0.43
8040,2.28,-0.57,-11.55,0.10,-0.13,-0.44
8075,2.45,-1.03,-11.78,0.20,-0.13,-0.42
8116,1.00,2.27,-6.25,-0.28,-0.09,-0.40
8162,1.21,-0.37,-9.86,0.30,-0.08,-0.33
8197,1.45,-2.05,-7.33,-0.17,0.03,-0.34
8232,0.36,-0.45,-12.38,0.31,-0.22,-0.29
8266,1.99,-3.27,-2.47,-0.14,0.22,-0.26
8301,-1.62,2.51,-16.74,-0.27,0.03,-0.16
8336,1.74,-1.38,-6.25,0.34,-0.05,-0.17
8371,0.44,-5.29,-14.93,0.04,-0.49,-0.09
8406,-1.33,-8.97,-10.59,0.98,-0.20,-0.16
8441,0.94,0.10,2.71,0.38,0.43,-0.24
8476,0.90,-7.29,-3.36,-1.10,0.23,-0.19
8510,-2.64,1.94,-17.66,0.61,-0.49,0.02
8551,-0.65,0.05,-7.94,-0.07,-0.22,-0.17
8585,1.29,-4.76,-2.54,0.76,0.13,-0.07
8620,0.57,-6.13,-17.95,-0.84,-0.08,0.04
8655,0.96,-7.50,-8.80,-0.55,-0.18,0.00
8690,-1.33,2.51,-21.47,0.15,-0.34,-0.10
8725,-0.62,-0.33,-8.16,0.53,0.11,-0.17
8760,0.49,0.16,-12.83,0.55,0.19,-0.12
8794,-0.22,-0.95,-13.48,-0.39,-0.29,-0.13
8829,0.47,-0.36,-3.49,0.19,-0.39,-0.21
8864,-0.48,-2.42,-5.97,0.42,0.14,-0.30
8899,0.97,-2.28,-13.03,-0.06,0.20,-0.30
8934,1.27,-0.69,-7.24,-0.20,-0.40,-0.26
8968,-0.38,-1.25,-8.50,0.50,0.00,-0.35
9009,0.67,-0.93,-13.93,0.35,0.46,-0.37
9043,1.24,-4.59,-9.35,-0.01,-0.08,-0.28
9078,0.13,-2.09,-13.56,-0.20,-0.33,-0.30
9113,-0.34,-3.09,-13.12,-0.20,-0.03,-0.32
9148,0.55,-1.85,-9.41,-0.07,-0.07,-0.26
9182,0.41,0.37,-13.59,-0.01,-0.31,-0.27
9217,0.01,-1.15,-9.20,-0.12,-0.13,-0.32
9252,0.97,0.88,-5.84,0.12,0.01,-0.36
9287,0.45,-1.81,-10.80,0.25,-0.13,-0.42
9322,0.36,-2.89,-9.73,-0.06,-0.08,-0.40
9357,0.48,-2.53,-7.62,0.00,0.07,-0.45
9391,0.30,-3.43,-12.90,-0.18,-0.03,-0.45
9440,0.86,-0.55,-9.13,-0.08,-0.05,-0.34
9480,1.32,-0.61,-5.33,0.36,0.02,-0.34
9526,0.40,-1.56,-13.37,-0.13,-0.11,-0.36
9561,0.63,-0.96,-9.83,-0.29,0.01,-0.37
9596,0.65,-0.41,-7.22,0.43,0.08,-0.35
9630,-0.27,-0.91,-11.96,0.00,-0.09,-0.35
9665,-14.86,-5.24,-15.11,-0.01,0.56,-0.16
9700,-9.92,-0.16,-10.16,-0.03,0.85,-0.12
9735,-7.05,-3.85,-10.55,-0.03,0.58,-0.11
9770,-1.04,-2.70,-9.63,0.11,0.27,0.02
9804,-1.56,-1.19,-9.89,0.10,0.02,-0.06
9839,-1.43,-0.16,-9.47,0.03,-0.13,0.09
9874,-1.16,-0.38,-11.07,0.11,-0.31,0.24
9914,-0.63,-0.64,-11.73,-0.10,-0.14,0.45
9949,-0.86,-0.32,-9.38,0.02,-0.10,0.79
9984,-0.17,1.71,-10.60,0.12,-0.17,1.28
10018,0.21,-0.92,-9.45,0.00,-0.40,1.51
10053,0.04,-1.72,-10.30,-0.03,-0.41,1.54
10088,-0.61,-1.89,-10.47,-0.08,-0.42,1.49
10123,0.06,-2.35,-9.88,-0.08,-0.48,1.45
10158,0.42,-1.52,-11.02,0.08,-0.12,1.30
10192,1.53,-0.99,-10.48,0.36,-0.27,1.24
10227,1.44,-3.06,-10.06,1.35,-0.25,1.17
10262,2.16,-3.66,-8.97,0.28,-0.24,0.97
10297,2.92,-3.80,-9.81,0.64,-0.17,0.92
10332,2.93,-3.08,-10.67,0.22,-0.08,0.95
10372,3.95,-1.35,-8.87,-0.41,0.03,0.84
10406,4.50,2.40,-12.76,-0.32,0.15,0.84
10441,3.47,3.74,-10.58,-0.55,0.26,0.86
10476,1.73,-1.62,-10.69,0.83,0.11,0.83
10511,1.55,-5.88,-11.87,-0.19,0.23,0.67
10545,4.00,-1.47,-9.76,-0.42,0.26,0.48
10580,3.09,-1.27,-10.09,0.34,0.08,0.67
10615,2.24,-2.34,-9.65,0.09,0.06,0.66
10650,2.90,-2.93,-10.05,-0.08,0.02,0.50
10685,2.26,-1.24,-13.69,-0.13,-0.05,0.24
10719,2.17,-2.01,-8.94,0.30,-0.05,0.26
10754,2.54,-1.26,-11.02,-0.13,-0.03,0.15
10794,1.41,-0.40,-10.34,-0.06,-0.09,-0.03
10829,0.24,-0.58,-10.33,-0.04,-0.14,-0.18
10875,0.61,-1.08,-9.96,-0.07,-0.11,-0.19
10924,0.33,-0.35,-10.75,0.01,-0.08,-0.11
10958,-0.94,-0.73,-8.21,0.19,0.01,-0.05
10993,-0.68,-3.92,-8.77,-0.60,0.37,-0.10
11028,0.49,1.57,-12.39,-0.19,0.19,-0.17
11063,-0.00,1.37,-8.75,-0.11,-0.31,-0.41
11097,0.10,-1.17,-9.67,0.05,-0.08,-0.39
11132,-2.05,-1.41,-9.98,0.24,-0.09,-0.25
11167,-3.63,-0.14,-10.77,-0.09,-0.17,-0.48
11202,-0.81,-0.75,-9.68,-0.03,-0.15,-0.30
11242,-0.09,0.05,-10.11,0.12,0.03,0.22
11277,0.22,0.65,-9.35,0.23,-0.01,0.47
11311,0.43,0.24,-10.11,0.17,-0.02,0.38
11346,0.64,-2.35,-9.28,0.11,-0.04,0.29
11381,0.68,-0.79,-10.60,0.19,-0.00,0.14
11416,0.64,-1.47,-11.16,-0.09,-0.06,-0.12
11450,0.67,-1.51,-9.87,0.03,-0.06,-0.24
11485,0.59,-0.80,-9.90,0.06,-0.08,-0.28
11520,0.71,-0.96,-10.02,-0.02,-0.05,-0.27
11555,0.91,-0.43,-10.50,0.04,-0.04,-0.16
11589,1.03,0.12,-10.21,0.06,-0.05,-0.03
11624,0.97,-0.32,-10.24,0.11,-0.04,0.10
11659,0.90,-0.42,-10.29,0.16,-0.04,0.17
11699,0.82,-0.79,-10.36,0.09,-0.05,0.14
11734,0.76,-0.72,-10.32,0.06,-0.04,0.08
11769,0.80,-0.77,-10.23,0.07,-0.05,0.00
11803,0.79,-0.74,-10.19,0.01,-0.05,-0.07
11838,0.76,-0.55,-10.29,0.04,-0.05,-0.10
11873,0.82,-0.66,-10.21,0.07,-0.05,-0.08
11907,0.85,-0.46,-10.20,0.02,-0.05,-0.05
11942,0.87,-0.37,-10.25,0.06,-0.05,-0.01
11977,0.80,-0.48,-10.27,0.07,-0.05,0.03
12012,0.77,-0.57,-10.28,0.07,-0.05,0.04
12047,0.74,-0.62,-10.31,0.05,-0.05,0.04
12081,0.78,-0.73,-10.27,0.07,-0.05,0.02
12122,0.84,-0.61,-10.27,0.05,-0.05,-0.02
12156,0.85,-0.62,-10.23,0.04,-0.05,-0.03
12191,0.84,-0.56,-10.26,0.07,-0.05,-0.03
12237,0.78,-0.50,-10.24,0.05,-0.05,-0.02
12272,0.77,-0.50,-10.27,0.06,-0.05,-0.00
12307,0.78,-0.58,-10.28,0.06,-0.05,0.01
12355,0.82,-0.61,-10.27,0.06,-0.05,0.01
12390,0.82,-0.59,-10.26,0.05,-0.05,0.00
12424,0.82,-0.61,-10.24,0.06,-0.05,-0.00
12459,0.79,-0.58,-10.24,0.05,-0.05,-0.01
12494,0.80,-0.62,-10.29,0.05,-0.05,-0.01
12528,0.80,-0.53,-10.24,0.06,-0.05,-0.01
12563,0.82,-0.58,-10.25,0.06,-0.05,-0.01
12603,0.80,-0.53,-10.26,0.06,-0.05,-0.00
12638,0.80,-0.59,-10.26,0.06,-0.05,-0.00
12673,0.79,-0.55,-10.26,0.06,-0.05,0.00
12707,0.81,-0.59,-10.26,0.06,-0.05,-0.00
12742,0.80,-0.57,-10.25,0.06,-0.05,-0.00
12777,0.79,-0.58,-10.26,0.06,-0.05,-0.00
12811,0.81,-0.58,-10.27,0.05,-0.05,-0.01
12846,0.80,-0.58,-10.23,0.06,-0.05,-0.01
12881,0.81,-0.57,-10.25,0.06,-0.05,-0.01
12916,0.82,-0.57,-10.25,0.06,-0.05,-0.00
12950,0.80,-0.58,-10.24,0.05,-0.05,-0.00
12985,0.80,-0.57,-10.25,0.06,-0.05,-0.00
13025,0.79,-0.59,-10.24,0.06,-0.05,-0.00
13060,0.82,-0.57,-10.27,0.06,-0.05,-0.00
13095,0.82,-0.59,-10.27,0.06,-0.05,-0.00
13129,0.81,-0.57,-10.26,0.06,-0.05,-0.01
13164,0.82,-0.58,-10.25,0.06,-0.05,-0.01
13199,0.81,-0.58,-10.25,0.06,-0.05,-0.00
13234,0.79,-0.57,-10.25,0.06,-0.05,-0.00
13268,0.79,-0.58,-10.26,0.06,-0.05,-0.00
13303,0.82,-0.57,-10.28,0.06,-0.05,-0.00
13338,0.82,-0.57,-10.25,0.06,-0.05,-0.00
13372,0.82,-0.58,-10.25,0.06,-0.05,-0.00
13407,0.81,-0.59,-10.24,0.06,-0.05,-0.01
13447,0.81,-0.57,-10.26,0.06,-0.05,-0.00
13482,0.81,-0.55,-10.26,0.05,-0.05,-0.01
13516,0.80,-0.56,-10.21,0.06,-0.05,-0.00
13551,0.81,-0.58,-10.25,0.06,-0.05,-0.00
13599,0.82,-0.56,-10.26,0.06,-0.05,-0.00
13633,0.81,-0.57,-10.24,0.06,-0.05,-0.00
13668,0.81,-0.56,-10.25,0.05,-0.05,-0.00
13703,0.81,-0.57,-10.25,0.05,-0.05,-0.00
13737,0.79,-0.57,-10.26,0.06,-0.05,-0.00
13772,0.80,-0.58,-10.29,0.06,-0.05,-0.00
13820,0.81,-0.56,-10.25,0.06,-0.05,-0.01
13855,0.81,-0.55,-10.28,0.06,-0.05,-0.00
13895,0.80,-0.57,-10.24,0.06,-0.05,-0.00
13930,0.82,-0.60,-10.23,0.06,-0.05,-0.01
13964,0.81,-0.58,-10.25,0.06,-0.05,-0.00
13999,0.83,-0.55,-10.24,0.06,-0.05,-0.00
14034,0.82,-0.57,-10.26,0.06,-0.05,-0.00
14068,0.81,-0.57,-10.25,0.06,-0.05,-0.00
14103,0.79,-0.57,-10.26,0.06,-0.05,-0.00
14138,0.79,-0.57,-10.23,0.06,-0.05,-0.00
14172,0.79,-0.57,-10.24,0.06,-0.05,-0.00
14207,0.82,-0.57,-10.25,0.06,-0.05,-0.00
14242,0.80,-0.59,-10.29,0.06,-0.05,-0.00
14276,0.81,-0.58,-10.22,0.06,-0.05,-0.00
14317,0.82,-0.56,-10.26,0.06,-0.05,-0.00
14351,0.79,-0.58,-10.25,0.06,-0.05,-0.00
14386,0.81,-0.56,-10.25,0.06,-0.05,-0.00
14421,0.81,-0.58,-10.26,0.06,-0.05,-0.00
14455,0.81,-0.60,-10.25,0.06,-0.05,-0.01
14490,0.80,-0.57,-10.25,0.05,-0.05,-0.00
14525,0.81,-0.57,-10.27,0.06,-0.05,-0.01
14559,0.82,-0.57,-10.25,0.05,-0.05,-0.00
14594,0.83,-0.59,-10.23,0.06,-0.05,-0.00
14629,0.80,-0.56,-10.27,0.05,-0.05,-0.00
14663,0.82,-0.56,-10.25,0.06,-0.05,-0.00
14698,0.81,-0.57,-10.23,0.06,-0.05,-0.00
14733,0.79,-0.56,-10.23,0.06,-0.05,-0.00
14773,0.81,-0.58,-10.28,0.06,-0.05,-0.00
14808,0.82,-0.57,-10.24,0.06,-0.05,-0.01
14842,0.79,-0.60,-10.27,0.06,-0.05,-0.00
14877,0.81,-0.58,-10.26,0.06,-0.05,-0.00
14912,0.81,-0.57,-10.26,0.06,-0.05,-0.00
14958,0.79,-0.55,-10.25,0.06,-0.05,-0.00
14993,0.81,-0.59,-10.22,0.06,-0.05,-0.00
15027,0.81,-0.57,-10.24,0.06,-0.05,-0.01
15062,0.78,-0.57,-10.24,0.06,-0.05,-0.00
15096,0.80,-0.57,-10.26,0.06,-0.05,-0.00
